행정구역,2022년_계_총인구수,2022년_계_연령구간인구수,2022년_계_10~19세,2022년_계_20~29세,2022년_계_30~39세,2022년_남_총인구수,2022년_남_연령구간인구수,2022년_남_10~19세,2022년_남_20~29세,2022년_남_30~39세,2022년_여_총인구수,2022년_여_연령구간인구수,2022년_여_10~19세,2022년_여_20~29세,2022년_여_30~39세
전국  (0000000000),51439038 ,17735888 ,4703196 ,6417181 ,6615511 ,25636951 ,9214052 ,2423599 ,3361589 ,3428864 ,25802087 ,8521836 ,2279597 ,3055592 ,3186647 
서울특별시  (1100000000),9428372 ,3564409 ,749118 ,1389483 ,1425808 ,4570048 ,1760563 ,383649 ,664239 ,712675 ,4858324 ,1803846 ,365469 ,725244 ,713133 
부산광역시  (2600000000),3317812 ,1057759 ,265934 ,395398 ,396427 ,1619915 ,544302 ,136736 ,204011 ,203555 ,1697897 ,513457 ,129198 ,191387 ,192872 
대구광역시  (2700000000),2363691 ,791352 ,217532 ,294363 ,279457 ,1162865 ,416741 ,112716 ,156048 ,147977 ,1200826 ,374611 ,104816 ,138315 ,131480 
인천광역시  (2800000000),2967314 ,1054528 ,272740 ,376526 ,405262 ,1485175 ,546717 ,140015 ,196168 ,210534 ,1482139 ,507811 ,132725 ,180358 ,194728 
광주광역시  (2900000000),1431050 ,526893 ,150857 ,198619 ,177417 ,707299 ,272888 ,78136 ,103581 ,91171 ,723751 ,254005 ,72721 ,95038 ,86246 
대전광역시  (3000000000),1446072 ,532166 ,140288 ,203887 ,187991 ,721245 ,278259 ,72535 ,106826 ,98898 ,724827 ,253907 ,67753 ,97061 ,89093 
울산광역시  (3100000000),1110663 ,379046 ,110202 ,129209 ,139635 ,570368 ,205747 ,57741 ,73073 ,74933 ,540295 ,173299 ,52461 ,56136 ,64702 
세종특별자치시  (3600000000),383591 ,148464 ,49002 ,38379 ,61083 ,191389 ,74301 ,24647 ,19705 ,29949 ,192202 ,74163 ,24355 ,18674 ,31134 
경기도  (4100000000),13589432 ,4947317 ,1327726 ,1737291 ,1882300 ,6839276 ,2574811 ,680443 ,916141 ,978227 ,6750156 ,2372506 ,647283 ,821150 ,904073 
강원도  (4200000000),1536498 ,462692 ,132133 ,170194 ,160365 ,772947 ,249117 ,68543 ,95604 ,84970 ,763551 ,213575 ,63590 ,74590 ,75395 
충청북도  (4300000000),1595058 ,521624 ,145882 ,188310 ,187432 ,810782 ,281969 ,75584 ,104821 ,101564 ,784276 ,239655 ,70298 ,83489 ,85868 
충청남도  (4400000000),2123037 ,686873 ,202299 ,231139 ,253435 ,1086632 ,370258 ,104744 ,128393 ,137121 ,1036405 ,316615 ,97555 ,102746 ,116314 
전라북도  (4500000000),1769607 ,542330 ,167541 ,198284 ,176505 ,880592 ,285712 ,86549 ,107645 ,91518 ,889015 ,256618 ,80992 ,90639 ,84987 
전라남도  (4600000000),1817697 ,519798 ,161566 ,185970 ,172262 ,915272 ,277927 ,83264 ,104135 ,90528 ,902425 ,241871 ,78302 ,81835 ,81734 
경상북도  (4700000000),2600492 ,750267 ,220579 ,261320 ,268368 ,1311881 ,408806 ,115633 ,148701 ,144472 ,1288611 ,341461 ,104946 ,112619 ,123896 
경상남도  (4800000000),3280493 ,1022238 ,318924 ,341089 ,362225 ,1651675 ,547771 ,165885 ,191246 ,190640 ,1628818 ,474467 ,153039 ,149843 ,171585 
제주특별자치도  (5000000000),678159 ,228132 ,70873 ,77720 ,79539 ,339590 ,118163 ,36779 ,41252 ,40132 ,338569 ,109969 ,34094 ,36468 ,39407 
